F,q,num_runs,steps_mean,steps_std,steps_min,steps_max,unique_cultures_mean,unique_cultures_std,unique_cultures_min,unique_cultures_max,largest_domain_mean,largest_domain_std,avg_distance_mean,avg_distance_std,prob_global_consensus
6,17,100,62021.03,18784.44824446808,15063,140716,6.62,4.356099172424797,1,25,88.01,14.66048771357897,0.11344444444444444,0.08546235905247886,0.01
6,18,100,64666.35,18964.8650627285,24949,121585,8.11,5.554988748863493,2,34,86.69,14.242678821064526,0.13811111111111113,0.096407763121667,0.0
6,19,100,63783.59,25665.288739889525,21589,212515,10.91,7.227855836968526,2,32,78.77,19.713880896464804,0.19094444444444444,0.12799656390063902,0.0
6,20,100,69094.15,24129.60876615077,16122,134750,13.75,8.698706800438787,2,55,73.75,20.13622357841708,0.24261111111111114,0.13957841063735243,0.0
7,2,100,43956.83,16994.008209986834,15011,94341,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
7,3,100,51374.78,17084.597705875312,18958,116797,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
7,4,100,56464.93,14155.121994002735,25419,101370,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
7,5,100,60644.11,20170.68549003479,23603,123991,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
7,6,100,62331.05,18480.402059682037,25649,115581,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
7,7,100,60852.74,17086.212403935522,30305,124261,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
7,8,100,60004.76,14093.711719146238,30484,101006,1.02,0.13999999999999999,1,2,99.98,0.13999999999999999,0.0002777777777777778,0.0019837301190396813,0.98
7,9,100,59750.1,14749.393203450778,26018,102581,1.02,0.13999999999999999,1,2,99.96,0.31368774282716233,0.0003333333333333333,0.0024620577562400377,0.98
7,10,100,64785.32,19046.73082808701,34187,133800,1.09,0.31921779399024736,1,3,99.89,0.42178193417926285,0.0015555555555555557,0.005504207145111482,0.92
7,11,100,60241.83,15000.187613530039,31703,96355,1.14,0.34698703145794946,1,2,99.84,0.41761226035642196,0.002111111111111111,0.0054308219599333045,0.86
7,12,100,64061.71,15383.046629517185,35717,116125,1.26,0.482078831727758,1,3,99.66,0.6666333324999583,0.005166666666666666,0.009789607742554673,0.76
7,13,100,63564.5,16101.874527209557,34303,125878,1.59,0.7495998932764066,1,4,99.01,1.5715915499900097,0.012777777777777777,0.017873008824606015,0.55
7,14,100,66488.64,14035.350747679946,39946,107175,1.78,1.073126274023705,1,7,98.6,2.501999200639361,0.01622222222222222,0.023487322558939202,0.55
7,15,100,68407.49,14863.79424339223,38854,104886,1.99,1.1789402020458883,1,6,98.32,3.2369121087851616,0.019833333333333335,0.02735517420078979,0.46
7,16,100,66070.75,15447.55425391023,40699,123675,2.51,1.2609123680890755,1,5,97.63,2.8236678274896283,0.03083333333333333,0.02817904615091342,0.28
7,17,100,67380.32,16087.870482372737,31965,117283,3.02,1.7548789132017055,1,9,96.71,4.08973104250145,0.040999999999999995,0.037447741364911885,0.24
7,18,100,68076.72,18798.578759619035,36159,142629,3.78,2.2026347858871205,1,12,95.11,6.076010204073064,0.056111111111111105,0.043832593994609724,0.11
7,19,100,71499.89,18643.221477467352,32645,133047,4.48,2.0903588208726274,1,11,94.03,4.873304833477996,0.0725,0.045794596424997516,0.03
7,20,100,73628.49,20720.060258355912,43299,147618,5.73,3.319201711255283,1,21,90.72,11.134702510619672,0.0977777777777778,0.0752567621341337,0.01
8,2,100,48891.55,19605.337568822935,15446,99741,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
8,3,100,58038.75,14462.657807177075,28542,106890,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
8,4,100,60617.98,17026.391038020945,27834,120809,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
8,5,100,62327.22,19973.229962417194,31568,137284,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
8,6,100,64153.86,17087.280886097706,31070,113362,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
8,7,100,66853.75,19361.315888324843,31929,133326,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
8,8,100,63543.81,14739.565143310709,38126,124099,1.01,0.09949874371066199,1,2,99.98,0.19899748742132406,0.00016666666666666666,0.0016583123951777001,0.99
8,9,100,66375.38,15913.900973538826,30343,110627,1.01,0.09949874371066199,1,2,99.99,0.09949874371066199,0.00016666666666666666,0.0016583123951777001,0.99
8,10,100,67227.43,17277.46914119947,42667,121680,1.04,0.19595917942265423,1,2,99.96,0.19595917942265428,0.0006666666666666666,0.0033591592128513273,0.96
8,11,100,67288.85,16088.770158949379,41335,140368,1.09,0.2861817604250837,1,2,99.87,0.46162755550335177,0.0018888888888888887,0.006246974576386931,0.91
8,12,100,70828.89,14815.72197356241,37982,131813,1.07,0.2917190429162964,1,3,99.93,0.29171904291629647,0.0012222222222222222,0.005304319227680005,0.94
8,13,100,72266.33,18759.2879310783,29823,130189,1.16,0.46303347611160905,1,4,99.82,0.5173006862551026,0.0029444444444444444,0.008294539331153322,0.87
8,14,100,72464.21,20016.13052430214,33422,133218,1.32,0.5635601121442149,1,4,99.52,0.8772684879784524,0.0064444444444444445,0.011103330609203887,0.72
8,15,100,74404.71,17543.00209274057,40448,133644,1.44,0.6829348431585549,1,4,99.35,1.306713434537198,0.008277777777777778,0.01325195070662671,0.66
8,16,100,72862.94,17230.323499470345,43548,139421,1.67,0.9597395480024775,1,5,99.15,1.4585952145814824,0.012277777777777778,0.018329881829985555,0.58
8,17,100,71319.18,14986.678726375634,41237,128592,1.83,0.8837986195961159,1,4,98.64,2.193262410200841,0.017166666666666667,0.021901786950039907,0.43
8,18,100,74155.54,18308.482472023727,41065,152369,2.2,1.3114877048604,1,8,98.04,2.897999309868793,0.02483333333333333,0.030352405481584462,0.32
8,19,100,72462.34,16138.138156069925,41995,104623,2.85,1.8020821290940099,1,12,96.78,4.286210447469886,0.03805555555555555,0.04086544466785152,0.27
8,20,100,77932.44,20322.775620628203,46621,132753,3.16,1.724644890984808,1,11,96.33,4.5432477370268955,0.04333333333333332,0.037068505150249495,0.17
9,2,100,50854.55,18759.464148730367,20828,105648,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
9,3,100,60806.41,15409.767991176894,27771,113864,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
9,4,100,65779.52,17002.077991516213,34405,110619,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
9,5,100,66839.13,14917.675781203317,36873,118990,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
9,6,100,73093.38,15550.70320325097,41774,133102,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
9,7,100,67184.91,16453.078958112976,34170,134819,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
9,8,100,71085.86,19832.208391916418,42237,165460,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
9,9,100,75388.38,19096.2122169712,34763,148965,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
9,10,100,72635.52,17108.19110922017,38212,133626,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
9,11,100,72962.68,14719.274011227591,45483,126225,1.03,0.17058722109231983,1,2,99.96,0.24166091947189153,0.0005555555555555556,0.003191423692521128,0.97
9,12,100,74812.85,16636.19243900178,35494,115195,1.02,0.13999999999999999,1,2,99.98,0.13999999999999999,0.0003888888888888889,0.0027504208432192357,0.98
9,13,100,76164.28,19014.695023628436,39820,162892,1.06,0.27640549922170504,1,3,99.92,0.39191835884530846,0.0011111111111111111,0.005826715823167508,0.95
9,14,100,74632.01,17010.911104050247,46222,126888,1.1,0.33166247903553997,1,3,99.8,0.9273618495495703,0.0019444444444444444,0.006637668414082511,0.91
9,15,100,73233.61,17246.8304757106,43822,141050,1.12,0.32496153618543844,1,2,99.86,0.4004996878900157,0.0018888888888888887,0.005165173021853093,0.88
9,16,100,77344.92,20586.716957144963,45580,151840,1.27,0.5264028875300742,1,4,99.68,0.705407683541936,0.004666666666666667,0.009677516261296301,0.76
9,17,100,76772.16,15750.206656879142,46896,121363,1.42,0.7236021006050217,1,4,99.45,1.0331989159885913,0.008055555555555555,0.01489417402050501,0.7
9,18,100,80813.06,18023.654417914255,48721,138075,1.57,0.7383088784512888,1,4,99.27,1.037834283496166,0.010055555555555555,0.013487419835801082,0.56
9,19,100,77846.59,19892.981685054154,51108,162915,1.98,0.9589577675789482,1,4,98.48,1.780337046741431,0.019444444444444445,0.020053939608644496,0.38
9,20,100,80224.61,19190.006567427226,41365,139346,2.04,1.0669582934679311,1,5,98.5,1.9,0.020277777777777777,0.024144306386065382,0.38
10,2,100,56200.03,19403.187689374652,24306,123847,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
10,3,100,62517.78,15692.40051399403,33173,115255,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
