correlation,grid_size,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
0.25,10,126,22079,1,100,100.0,0.0
0.25,10,127,14079,1,100,100.0,0.0
0.25,10,128,49642,1,100,100.0,0.0
0.25,10,129,21196,1,100,100.0,0.0
0.25,10,130,27815,1,100,100.0,0.0
0.25,10,131,45484,1,100,100.0,0.0
0.25,10,132,33152,1,100,100.0,0.0
0.25,10,133,25665,2,99,99.0,0.022222222222222223
0.25,10,134,29153,1,100,100.0,0.0
0.25,10,135,24611,1,100,100.0,0.0
0.25,10,136,19905,1,100,100.0,0.0
0.25,10,137,22422,1,100,100.0,0.0
0.25,10,138,37172,1,100,100.0,0.0
0.25,10,139,49310,1,100,100.0,0.0
0.25,10,140,38074,1,100,100.0,0.0
0.25,10,141,58886,1,100,100.0,0.0
0.25,10,142,24740,1,100,100.0,0.0
0.25,10,143,29566,1,100,100.0,0.0
0.25,10,144,28650,1,100,100.0,0.0
0.25,10,145,57316,1,100,100.0,0.0
0.25,10,146,54194,1,100,100.0,0.0
0.25,10,147,50983,1,100,100.0,0.0
0.25,10,148,77616,1,100,100.0,0.0
0.25,10,149,62088,1,100,100.0,0.0
0.25,10,150,35997,1,100,100.0,0.0
0.25,10,151,25862,1,100,100.0,0.0
0.25,10,152,47276,2,99,99.0,0.016666666666666666
0.25,10,153,34464,1,100,100.0,0.0
0.25,10,154,26356,1,100,100.0,0.0
0.25,10,155,29971,1,100,100.0,0.0
0.25,10,156,58774,1,100,100.0,0.0
0.25,10,157,56833,3,98,98.0,0.03333333333333333
0.25,10,158,47783,1,100,100.0,0.0
0.25,10,159,29161,1,100,100.0,0.0
0.25,10,160,36076,1,100,100.0,0.0
0.25,10,161,51267,1,100,100.0,0.0
0.25,10,162,45872,1,100,100.0,0.0
0.25,10,163,16061,1,100,100.0,0.0
0.25,10,164,56560,1,100,100.0,0.0
0.25,10,165,47463,1,100,100.0,0.0
0.25,10,166,35122,1,100,100.0,0.0
0.25,10,167,24598,1,100,100.0,0.0
